video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
3qz5yaObSv4,JM,2025-12-28 02:41:46.190613+00:00,2025-12-21 20:02:32+00:00,Skippa x Rvssian - Phone Screen | Recovery Riddim (Official Music Video),Skippa x Rvssian - Phone Screen | Recovery Riddim (Official Music Video),Skippa,UCOYDFPQVV7yQJQcXN6rXCvg,10,Music,,0,https://i.ytimg.com/vi/3qz5yaObSv4/hqdefault.jpg,en,en,False,139,PT2M19S,hd,false,False,,,387621,14499,542
IqaXNwAzSmQ,JM,2025-12-28 02:41:46.190648+00:00,2025-12-25 17:30:00+00:00,Bridgerton Season 4 | Official Trailer | Netflix,Bridgerton Season 4 | Official Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Adjoa Andoh, Benedict, Benophie, Bridgerton, Bridgerton Season 4, Bridgerton Trailer, Claudia Jessie, Colin, Eloise, Fantasy, Francesca, Golda Rosheuvel, Hannah Dodd, Jonathan Bailey, Julia Quinn, Julie Andrews, Kanthony, Lady Whistledown, Luke Newton, Luke Thompson, Michaela, Netflix, Netflix Drama, Netflix Series, Nicola Coughlan, Penelope, Polin, Regency, Romance, Ruth Gemmell, Shondaland, Simone Ashley, Sophie, Yerin Ha",34,https://i.ytimg.com/vi/IqaXNwAzSmQ/hqdefault.jpg,en,en-US,False,153,PT2M33S,hd,true,True,,,2472087,75547,2671
zPbrkmdcTfo,JM,2025-12-28 02:41:46.190661+00:00,2025-12-27 17:00:04+00:00,1000 Players Simulate Civilization: Boys vs Girls,1000 Players Simulate Civilization: Boys vs Girls,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/zPbrkmdcTfo/hqdefault.jpg,en,en,False,3156,PT52M36S,hd,true,True,,,3733287,177414,13050
_b98agqsHIA,JM,2025-12-28 02:41:46.190669+00:00,2025-12-17 23:00:00+00:00,"Silk Boss, Dj Mac - Pull Up (Official Music Video) | WYFL RIDDIM","Silk Boss, Dj Mac - Pull Up (Official Music Video) | WYFL RIDDIM",SilkbossVEVO,UC9raRuJRBDkWwv34UgkLutA,10,Music,"Silk Boss, Dj Mac, DJ Mac Music, Dancehall",4,https://i.ytimg.com/vi/_b98agqsHIA/hqdefault.jpg,en,en,False,139,PT2M19S,hd,false,True,,,537523,17055,728
Mzw2ttJD2qQ,JM,2025-12-28 02:41:46.190676+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,26797535,481219,24948
vKPSoQs0qos,JM,2025-12-28 02:41:46.190684+00:00,2025-12-23 18:22:35+00:00,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,20,Gaming,"steal a brainrot giveaway, steal a brainrot giveaway live, steal a brainrot secret giveaway, steal a brainrot live giveaway, steal a brainrot brainrot god giveaway, steal a brainrot stream, steal a brainrot live, steal a brainrot 24/7 stream, steal a brainrot, steal a brainrot god, w steal a brainrot, steal a brainrot game, steal a brainrot gifting, steal a brainrot mod, steal a brainrot glitch, steal a brainrot 24/7, roblox steal a brainrot, steal a brainrot roblox",18,https://i.ytimg.com/vi/vKPSoQs0qos/hqdefault.jpg,en,en,False,9,PT9S,hd,false,True,,,1054148,15584,79
5AvOR2XFsN0,JM,2025-12-28 02:41:46.190693+00:00,2025-12-20 18:00:07+00:00,Valiant x Rvssian - Passport Princess | Music Video (Recovery Riddim),Valiant x Rvssian - Passport Princess | Music Video (Recovery Riddim),Rvssian,UCgtDkLbESdzKgJT_oB9AVTw,10,Music,"Rvssian, Rvssian Riddim, Head Concussion Records, Russian, Russian Riddim, Reggae (Musical Genre), Konshens (Musical Artist), whine and kotch charly black, wine and kotch charly black, whine & kotch, whine and kotch, Vybz Kartel (Celebrity), russian head concussion, j capri, dancehall 2015, Dancehall (Musical Genre)",16,https://i.ytimg.com/vi/5AvOR2XFsN0/hqdefault.jpg,en,en,False,136,PT2M16S,hd,false,True,,,926661,58295,674
BwdMT-OiARI,JM,2025-12-28 02:41:46.190701+00:00,2025-12-21 06:45:01+00:00,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"black clover, black clover anime, black clover season 2, black clover s2, black clover second season, crunchyroll, anime, anime trailer, anime preview",9,https://i.ytimg.com/vi/BwdMT-OiARI/hqdefault.jpg,en,ja,False,110,PT1M50S,hd,false,True,,,3272106,233346,12160
nm1NHiBRdFM,JM,2025-12-28 02:41:46.190708+00:00,2025-12-26 15:01:36+00:00,The One Brainrot Challenge In Steal A Brainrot...,The One Brainrot Challenge In Steal A Brainrot...,Techy Plays,UCNDzLI-hyihpAx3zKtwhGZw,20,Gaming,"roblox, brookhaven, funnyroblox, techyblox, techy, crazy fan girls, crazy fan girl, my crazy fan girls",8,https://i.ytimg.com/vi/nm1NHiBRdFM/hqdefault.jpg,en,en,False,889,PT14M49S,hd,false,True,,,210822,9062,489
TFimCjihfjg,JM,2025-12-28 02:41:46.190716+00:00,2025-12-13 20:00:07+00:00,Jamal - Faada (Official Music Video),Jamal - Faada (Official Music Video),JamalOfficialVEVO,UCoouxJp5xAqlJkfDAdmdU2w,10,Music,"Jamal, Zojak Worldwide, Dancehall",3,https://i.ytimg.com/vi/TFimCjihfjg/hqdefault.jpg,ms,en,False,172,PT2M52S,hd,false,True,,,848642,15268,774
ASobpXYYoVQ,JM,2025-12-28 02:41:46.190723+00:00,2025-12-21 06:32:36+00:00,Official Teaser Trailer | BLEACH: Thousand-Year Blood War Final Part - The Calamity | VIZ,Official Teaser Trailer | BLEACH: Thousand-Year Blood War Final Part - The Calamity | VIZ,vizmedia,UCV1da9peoqEwqr45bpTJsbQ,1,Film & Animation,"viz media, anime, official, manga, bleach, bleach thousand-year blood war, bleach tybw, bleach final part, bleach tybw part 4, bleach op, bleach ed, bleach ending, bleach final cour, bleach finale, bleach ichigo, ichigo bleach, ichigo final form, final form ichigo, bleach final part teaser, bleach final part trailer, bleach viz final part",21,https://i.ytimg.com/vi/ASobpXYYoVQ/hqdefault.jpg,en,en,False,124,PT2M4S,hd,false,True,,,1503830,100989,4004
GbOiO6aNz5A,JM,2025-12-28 02:41:46.190743+00:00,2025-12-26 14:00:25+00:00,I Secretly Teamed With My Minecraft Killer,I Secretly Teamed With My Minecraft Killer,FlameFrags,UCvYPobTo42NM36X7VC4dLhA,20,Gaming,"flamefrags, minecraft, flamefrags minecraft",3,https://i.ytimg.com/vi/GbOiO6aNz5A/hqdefault.jpg,en,en-US,False,3598,PT59M58S,hd,false,True,,,2605098,119718,18883
-LIbQYd8Mmw,JM,2025-12-28 02:41:46.190752+00:00,2025-12-18 20:09:36+00:00,Tommy Lee Sparta - Outside Brawling | Official Music Video,Tommy Lee Sparta - Outside Brawling | Official Music Video,TommyLeeSpartaVEVO,UCf7WOF7QcF5dWpUUU225JgQ,10,Music,"dancehall, reggae, onerpm, Music, official, audio, video, jamaica, reggae music, dancehall 2025 mix, new music, trop life, dancehall music, reggae 2025, trending, jamaican, caribbean music, trinidad and tobago, trap, best dancehall, trending music, YouTube music, 2025",23,https://i.ytimg.com/vi/-LIbQYd8Mmw/hqdefault.jpg,en,en,False,182,PT3M2S,hd,false,True,,,643651,27753,2925
